dataset,factor,f1,auc,full_f1,full_auc
COSI_Balloon,delta_E,0.21212121212121213,0.9639677829588809,0.2222222222222222,0.9387452310300975
COSI_Balloon,arm,0.03773584905660377,0.5929419245442984,0.2222222222222222,0.9387452310300975
COSI_Balloon,anni,0.023076923076923078,0.5108096651123357,0.2222222222222222,0.9387452310300975
GeACT,delta_E,0.8620689655172413,0.9364583928189614,0.8628428927680798,0.941806455125813
GeACT,arm,0.539381153305204,0.62516716844869,0.8628428927680798,0.941806455125813
GeACT,anni,0.5365351629502573,0.6325345326521316,0.8628428927680798,0.941806455125813
Max,delta_E,0.9013377926421404,0.9719084327384174,0.9024597116200169,0.9716443622599165
Max,arm,0.46582278481012657,0.6061530397080342,0.9024597116200169,0.9716443622599165
Max,anni,0.4743935309973046,0.6198794363511123,0.9024597116200169,0.9716443622599165
NCT,delta_E,0.874749899959984,0.9554242742974475,0.8748987854251012,0.9621327032503959
NCT,arm,0.4741800834824091,0.5965609231151193,0.8748987854251012,0.9621327032503959
NCT,anni,0.4807496895111211,0.609408215234721,0.8748987854251012,0.9621327032503959
SPILike,delta_E,0.875,0.9951737451737451,0.7272727272727273,0.9757480694980695
SPILike,arm,0.11428571428571428,0.5575530888030888,0.7272727272727273,0.9757480694980695
SPILike,anni,0.18181818181818182,0.6534749034749034,0.7272727272727273,0.9757480694980695
