dataset,factor,f1,auc,full_f1,full_auc
COSI_Balloon,delta_E,0.045112781954887216,0.9945817380206521,0.27272727272727276,0.9790229621125144
COSI_Balloon,arm,0.39436619718309857,0.980114566284779,0.27272727272727276,0.9790229621125144
COSI_Balloon,anni,0.2,0.8815175922000847,0.27272727272727276,0.9790229621125144
GeACT,delta_E,0.18181818181818182,0.9975423265974878,0.8613138686131386,0.9821153810289448
GeACT,arm,0.8441432720232332,0.9618669282158265,0.8613138686131386,0.9821153810289448
GeACT,anni,0.8597194388777555,0.9374869684972967,0.8613138686131386,0.9821153810289448
Max,delta_E,0.5,0.9991392801251956,0.893486590038314,0.9912134501631314
Max,arm,0.8804934464148034,0.978996539956788,0.893486590038314,0.9912134501631314
Max,anni,0.8879736408566722,0.967523940853481,0.893486590038314,0.9912134501631314
NCT,delta_E,0.8627450980392157,0.9992707767396707,0.8788296041308089,0.9890453815994055
NCT,arm,0.8644428672817601,0.9789367027467691,0.8788296041308089,0.9890453815994055
NCT,anni,0.8732,0.957755715368924,0.8788296041308089,0.9890453815994055
SPILike,delta_E,0.8651488616462347,0.9980745899198727,0.8288543140028288,0.9969541719676616
SPILike,arm,0.7553648068669528,0.987461951656222,0.8288543140028288,0.9969541719676616
SPILike,anni,0.48,0.9376206563706564,0.8288543140028288,0.9969541719676616
