dataset,split,geo_file,sim_file,tra_file,tp,fp,fn,tn,excluded,precision,recall,fpr,f1_score
COSI_Balloon,train,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,15,1,78,69671,0,0.9375,0.16129032258064516,1.4352968193822482e-05,0.27522935779816515
COSI_Balloon,eval,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,1,1,24,17419,0,0.5,0.04,5.74052812858783e-05,0.07407407407407407
GeACT,train,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,3572,953,115,26251,0,0.7893922651933701,0.9688093300786548,0.03503161299808852,0.8699464198733561
GeACT,eval,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,879,255,44,6549,0,0.7751322751322751,0.952329360780065,0.03747795414462081,0.8546426835196889
Max,train,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,2338,543,72,23422,0,0.8115237764665046,0.9701244813278008,0.02265804297934488,0.8837648837648837
Max,eval,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,583,118,21,5874,0,0.8316690442225392,0.9652317880794702,0.019692923898531375,0.893486590038314
NCT,train,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,10159,2313,488,79401,0,0.814544579858884,0.9541654926270311,0.028306043028122476,0.878844240667849
NCT,eval,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,2553,594,110,19836,0,0.8112488083889419,0.9586932031543373,0.02907488986784141,0.8788296041308089
SPILike,train,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,61,2,9,9401,0,0.9682539682539683,0.8714285714285714,0.0002126980750824205,0.9172932330827068
SPILike,eval,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,13,0,5,2352,0,1.0,0.7222222222222222,0.0,0.8387096774193548
