dataset,split,geo_file,sim_file,tra_file,tp,fp,fn,tn,excluded,precision,recall,fpr,f1_score,best_f1,auc
COSI_Balloon,train,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,21,47,72,69625,0,0.3088235294117647,0.22580645161290322,0.0006745895051096566,0.2608695652173913,0.2764227642276423,0.9861858854454112
COSI_Balloon,eval,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,4,12,21,17408,0,0.25,0.16,0.0006888633754305396,0.19512195121951217,0.22727272727272727,0.979625717566016
GeACT,train,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,3667,1275,20,25929,0,0.7420072845002024,0.994575535665853,0.0468681076312307,0.8499246726155986,0.8460474763770454,0.977470392462507
GeACT,eval,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,921,332,2,6472,0,0.7350359138068635,0.9978331527627302,0.04879482657260435,0.8465073529411764,0.8439359267734554,0.9798123180361052
Max,train,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,2180,473,230,23492,0,0.821711270260083,0.9045643153526971,0.01973711662841644,0.8611495160971756,0.8537395040031244,0.9841228607071343
Max,eval,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,548,96,56,5896,0,0.8509316770186336,0.9072847682119205,0.01602136181575434,0.8782051282051282,0.8716323296354992,0.9878933500738292
NCT,train,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,10253,2556,394,79158,0,0.8004528066203451,0.9629942706865784,0.03127982964975402,0.8742326057298773,0.8703235371064795,0.9861148642333865
NCT,eval,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,2572,633,91,19797,0,0.8024960998439937,0.965828013518588,0.030983847283406755,0.8766189502385822,0.8726827562084645,0.9863979362960341
SPILike,train,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,945,223,438,45181,0,0.8090753424657534,0.6832971800433839,0.004911461545238305,0.7408859270874167,0.7511238250919493,0.9928879207243169
SPILike,eval,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,238,50,109,11303,0,0.8263888888888888,0.6858789625360231,0.004404122258433894,0.7496062992125985,0.7594108019639935,0.9928368918725795
