dataset,split,geo_file,sim_file,tra_file,tp,fp,fn,tn,excluded,precision,recall,fpr,f1_score,best_f1,auc,rho_floor_1,rho_floor_2,rho_floor_3,joint_smoothing,marginal_smoothing,selection_accepted,cv_auc,threshold_offset,threshold_moved
COSI_Balloon,train,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,55,38,38,69634,0,0.5913978494623656,0.5913978494623656,0.0005454127913652544,0.5913978494623656,0.4583333333333333,0.998139670122491,0.0870648469617977,0.4009639070812879,0.08798358903173485,0.08212149143218994,0.02259361743927002,True,0.9946768342816709,-0.22897720336914062,True
COSI_Balloon,eval,$(MEGALIB)/resource/examples/geomega/cosiballoon/COSIBalloon.12Detector.geo.setup,data/COSI_Balloon.sim,data/COSI_Balloon.tra,7,22,18,17398,0,0.2413793103448276,0.28,0.0012629161882893227,0.25925925925925924,0.24390243902439024,0.982780711825488,0.0870648469617977,0.4009639070812879,0.08798358903173485,0.08212149143218994,0.02259361743927002,True,0.9946768342816709,-0.22897720336914062,True
GeACT,train,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,3572,953,115,26251,0,0.7893922651933701,0.9688093300786548,0.03503161299808852,0.8699464198733561,0.8702722680793397,0.990241921258967,0.11999999988,1.9843749980156251,2.903673466484082,0.5,0.0,False,0.9845516954902596,0.0,False
GeACT,eval,$(MEGALIB)/resource/examples/geomega/special/GeACT.geo.setup,data/GeACT.sim,data/GeACT.tra,879,255,44,6549,0,0.7751322751322751,0.952329360780065,0.03747795414462081,0.8546426835196889,0.8547838756677999,0.9842239572286521,0.11999999988,1.9843749980156251,2.903673466484082,0.5,0.0,False,0.9845516954902596,0.0,False
Max,train,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,2380,667,30,23298,0,0.781096160157532,0.9875518672199171,0.02783225537241811,0.8722741433021808,0.8733640552995392,0.9930587223933935,0.08911182522803188,4.400717492513182,6.331410894530484,0.016393661499023438,0.0028039216995239258,True,0.9901934869293803,0.0,False
Max,eval,$(MEGALIB)/resource/examples/geomega/special/Max.geo.setup,data/Max.sim,data/Max.tra,582,155,22,5837,0,0.7896879240162822,0.9635761589403974,0.025867823765020028,0.8680089485458613,0.8749028749028749,0.9922082920715479,0.08911182522803188,4.400717492513182,6.331410894530484,0.016393661499023438,0.0028039216995239258,True,0.9901934869293803,0.0,False
NCT,train,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,10336,2481,311,79233,0,0.8064289615354607,0.9707898938668169,0.03036199427270725,0.8810092055915445,0.8808530764930989,0.9911408458164405,1.8662551473776274,6.798702479298205,12.182318644402118,0.12229740619659424,0.10119009017944336,True,0.9894462528981498,0.0,False
NCT,eval,$(MEGALIB)/resource/examples/geomega/special/Simple_Ge_NCT_try1_040721.geo.setup,data/NCT.sim,data/NCT.tra,2605,628,58,19802,0,0.8057531704299412,0.978220052572287,0.03073910915320607,0.8836499321573947,0.8820617852875917,0.9894416864304424,1.8662551473776274,6.798702479298205,12.182318644402118,0.12229740619659424,0.10119009017944336,True,0.9894462528981498,0.0,False
SPILike,train,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,1294,272,89,45132,0,0.8263090676883781,0.935647143890094,0.005990661615716677,0.8775856222448286,0.8771929824561403,0.9977950984024966,12.058029983962658,2.9453731443931055,0.13413238414741524,0.7803106307983398,0.28076106309890747,True,0.9974665177432198,-0.32676053047180176,True
SPILike,eval,$(MEGALIB)/resource/examples/geomega/special/SPILike.geo.setup,data/SPILike.sim,data/SPILike.tra,324,78,23,11275,0,0.8059701492537313,0.9337175792507204,0.006870430723156875,0.8651535380507342,0.8654124457308249,0.9978643180045341,12.058029983962658,2.9453731443931055,0.13413238414741524,0.7803106307983398,0.28076106309890747,True,0.9974665177432198,-0.32676053047180176,True
